,id,level,name,parent_id,children,full_path_taxonomy_ids
0,3,3,Belt Buckles,2,[],"[1, 2, 3]"
1,4,3,Belts,2,[],"[1, 2, 4]"
2,5,3,Suspenders,2,[],"[1, 2, 5]"
3,7,3,Capes,6,[],"[1, 6, 7]"
4,8,3,Costume Goggles,6,[],"[1, 6, 8]"
5,9,3,Costume Hats & Headpieces,6,[],"[1, 6, 9]"
6,10,3,Costume Weapons,6,[],"[1, 6, 10]"
7,11,3,Facial Hair,6,[],"[1, 6, 11]"
8,12,3,Masks & Prosthetics,6,"[{'id': 1768, 'level': 4, 'name': 'Masks', 'parent_id': 12, 'children': [], 'full_path_taxonomy_ids': [1, 6, 12, 1768]}, {'id': 2168, 'level': 4, 'name': 'Prosthetics', 'parent_id': 12, 'children': [], 'full_path_taxonomy_ids': [1, 6, 12, 2168]}]","[1, 6, 12]"
9,13,3,Costume Tails & Ears,6,"[{'id': 1760, 'level': 4, 'name': 'Costume Tails', 'parent_id': 13, 'children': [], 'full_path_taxonomy_ids': [1, 6, 13, 1760]}, {'id': 1761, 'level': 4, 'name': 'Costume Ears', 'parent_id': 13, 'children': [], 'full_path_taxonomy_ids': [1, 6, 13, 1761]}]","[1, 6, 13]"
10,14,3,Wands,6,[],"[1, 6, 14]"
11,15,3,Wings,6,[],"[1, 6, 15]"
12,17,3,Arm Warmers,16,[],"[1, 16, 17]"
13,18,3,Costume Gloves,16,[],"[1, 16, 18]"
14,19,3,Driving Gloves,16,[],"[1, 16, 19]"
15,20,3,Evening & Formal Gloves,16,[],"[1, 16, 20]"
16,21,3,Gardening & Work Gloves,16,"[{'id': 1762, 'level': 4, 'name': 'Gardening Gloves', 'parent_id': 21, 'children': [], 'full_path_taxonomy_ids': [1, 16, 21, 1762]}, {'id': 1763, 'level': 4, 'name': 'Work Gloves', 'parent_id': 21, 'children': [], 'full_path_taxonomy_ids': [1, 16, 21, 1763]}]","[1, 16, 21]"
17,22,3,Mittens & Muffs,16,"[{'id': 1764, 'level': 4, 'name': 'Mittens', 'parent_id': 22, 'children': [], 'full_path_taxonomy_ids': [1, 16, 22, 1764]}, {'id': 1765, 'level': 4, 'name': 'Muffs', 'parent_id': 22, 'children': [], 'full_path_taxonomy_ids': [1, 16, 22, 1765]}]","[1, 16, 22]"
18,23,3,Sports Gloves,16,[],"[1, 16, 23]"
19,24,3,Winter Gloves,16,[],"[1, 16, 24]"
20,26,3,Baseball & Trucker Caps,25,[],"[1, 25, 26]"
21,27,3,Berets & Tams,25,"[{'id': 2140, 'level': 4, 'name': 'Berets', 'parent_id': 27, 'children': [], 'full_path_taxonomy_ids': [1, 25, 27, 2140]}, {'id': 2141, 'level': 4, 'name': 'Tams', 'parent_id': 27, 'children': [], 'full_path_taxonomy_ids': [1, 25, 27, 2141]}]","[1, 25, 27]"
22,28,3,Bucket Hats,25,[],"[1, 25, 28]"
